Date,Company,Ticker,Sector,RSI,PE,ROC
1997-01-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-02-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-03-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-04-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-05-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-06-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-07-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-08-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-09-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-10-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-11-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1997-12-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1998-01-01,JP Morgan Chase & Co.,JPM,Financial,,11.819431,
1998-02-01,JP Morgan Chase & Co.,JPM,Financial,72.87857959256982,11.819431,
1998-03-01,JP Morgan Chase & Co.,JPM,Financial,76.2971968155308,11.819431,
1998-04-01,JP Morgan Chase & Co.,JPM,Financial,75.03893606556338,11.819431,
1998-05-01,JP Morgan Chase & Co.,JPM,Financial,79.11996210719987,11.819431,
1998-06-01,JP Morgan Chase & Co.,JPM,Financial,84.09729466786003,11.819431,
1998-07-01,JP Morgan Chase & Co.,JPM,Financial,83.61487394012262,11.819431,
1998-08-01,JP Morgan Chase & Co.,JPM,Financial,54.05559682142447,11.819431,
1998-09-01,JP Morgan Chase & Co.,JPM,Financial,40.87574233111883,11.819431,
1998-10-01,JP Morgan Chase & Co.,JPM,Financial,51.49544128233248,11.819431,
1998-11-01,JP Morgan Chase & Co.,JPM,Financial,53.74388228932527,11.819431,
1998-12-01,JP Morgan Chase & Co.,JPM,Financial,58.43840151492169,11.819431,
1999-01-01,JP Morgan Chase & Co.,JPM,Financial,63.02148486942447,11.819431,
1999-02-01,JP Morgan Chase & Co.,JPM,Financial,64.08934174770562,11.819431,
1999-03-01,JP Morgan Chase & Co.,JPM,Financial,65.5141418614304,11.819431,
1999-04-01,JP Morgan Chase & Co.,JPM,Financial,62.58388925086153,11.819431,
1999-05-01,JP Morgan Chase & Co.,JPM,Financial,53.76722611056557,11.819431,
1999-06-01,JP Morgan Chase & Co.,JPM,Financial,59.274679223633086,11.819431,
1999-07-01,JP Morgan Chase & Co.,JPM,Financial,54.770892194816334,11.819431,
1999-08-01,JP Morgan Chase & Co.,JPM,Financial,54.63706929046011,11.819431,
1999-09-01,JP Morgan Chase & Co.,JPM,Financial,50.78665012677243,11.819431,
1999-10-01,JP Morgan Chase & Co.,JPM,Financial,66.50144991067945,11.819431,
1999-11-01,JP Morgan Chase & Co.,JPM,Financial,66.24917636756234,11.819431,
1999-12-01,JP Morgan Chase & Co.,JPM,Financial,61.72915974530512,11.819431,
2000-01-01,JP Morgan Chase & Co.,JPM,Financial,60.07226832907057,11.819431,
2000-02-01,JP Morgan Chase & Co.,JPM,Financial,56.16858372039471,11.819431,
2000-03-01,JP Morgan Chase & Co.,JPM,Financial,57.06944814134049,11.819431,
2000-04-01,JP Morgan Chase & Co.,JPM,Financial,47.034224988946,11.819431,
2000-05-01,JP Morgan Chase & Co.,JPM,Financial,47.69151539174517,11.819431,
2000-06-01,JP Morgan Chase & Co.,JPM,Financial,44.56827360476935,11.819431,
2000-07-01,JP Morgan Chase & Co.,JPM,Financial,51.9312573525496,11.819431,
2000-08-01,JP Morgan Chase & Co.,JPM,Financial,49.84796181563735,11.819431,
2000-09-01,JP Morgan Chase & Co.,JPM,Financial,47.18980140203047,11.819431,
2000-10-01,JP Morgan Chase & Co.,JPM,Financial,42.86465625194238,11.819431,
2000-11-01,JP Morgan Chase & Co.,JPM,Financial,40.94537914564038,11.819431,
2000-12-01,JP Morgan Chase & Co.,JPM,Financial,41.72857094697571,11.819431,
2001-01-01,JP Morgan Chase & Co.,JPM,Financial,53.39766715165308,11.819431,
2001-02-01,JP Morgan Chase & Co.,JPM,Financial,47.7257032885888,11.819431,
2001-03-01,JP Morgan Chase & Co.,JPM,Financial,45.31351602041504,11.819431,
2001-04-01,JP Morgan Chase & Co.,JPM,Financial,47.65786718798288,11.819431,
2001-05-01,JP Morgan Chase & Co.,JPM,Financial,45.36510389264637,11.819431,
2001-06-01,JP Morgan Chase & Co.,JPM,Financial,48.59550763252603,11.819431,
2001-07-01,JP Morgan Chase & Co.,JPM,Financial,46.37997119338288,11.819431,
2001-08-01,JP Morgan Chase & Co.,JPM,Financial,46.39060193710283,11.819431,
2001-09-01,JP Morgan Chase & Co.,JPM,Financial,40.22041440465944,11.819431,
2001-10-01,JP Morgan Chase & Co.,JPM,Financial,35.67315171323662,11.819431,
2001-11-01,JP Morgan Chase & Co.,JPM,Financial,44.30668445455413,11.819431,
2001-12-01,JP Morgan Chase & Co.,JPM,Financial,43.77704840207804,11.819431,
2002-01-01,JP Morgan Chase & Co.,JPM,Financial,48.47157137801509,11.819431,
2002-02-01,JP Morgan Chase & Co.,JPM,Financial,35.498806860255925,11.819431,
2002-03-01,JP Morgan Chase & Co.,JPM,Financial,31.680133615961537,11.819431,
2002-04-01,JP Morgan Chase & Co.,JPM,Financial,37.38359627613888,11.819431,
